Id,Brain
111,-27.3876213439
123,-23.0252983432
159,17.7256202225
43,-17.0042154856
122,-4.53479344338
70,-9.2552577768
145,-25.3590513888
86,-19.8682690309
113,-17.8192338569
105,-22.5764996806
150,-26.4361681791
1,-22.0288755525
110,-21.5891426229
66,-21.0342479564
24,-21.8349945302
121,75.7104074327
53,-20.8496121866
40,-21.8104901233
97,-22.6331380718
95,-20.0691513123
84,-18.7449259784
104,60.6307723687
75,-23.0011529752
92,-20.6586932355
143,367.429538134
58,-22.4511053343
139,412.309404396
136,-27.1542460393
107,-21.7686620879
81,-22.3707703737
137,-27.2888856381
69,-22.577038239
54,-20.6887627459
21,-21.9579653638
117,-27.2440057718
149,-25.8078500515
45,-20.4898551786
46,-21.1465373818
15,-22.450207737
26,-10.5083036428
48,-22.3059638468
36,-20.3922863494
13,-22.3664619065
109,-22.3969802156
23,-22.5853858941
140,-16.6523573341
62,-22.8643591428
44,-22.3308272927
90,-22.9719810621
67,-20.0676253969
91,-22.3900687162
98,12.4297960036
29,-15.6865426121
42,-21.3355713785
141,129.566246947
7,-20.802488327
64,-14.1319040448
94,-22.7511721201
82,-22.8561910072
101,352.170383605
5,-22.253544163
79,-18.2913700499
16,-22.684749918
