Id,Brain
111,-27.3873252852
123,-23.0250108628
159,17.7258275686
43,-17.0039398452
122,-4.53454232343
70,-9.25499737433
145,-25.3587593192
86,-19.8679877586
113,-17.8189566138
105,-22.5762130827
150,-26.4358739914
1,-22.0285900314
110,-21.5888579665
66,-21.0339643912
24,-21.8347093904
121,75.7105007551
53,-20.8493289845
40,-21.8102050316
97,-22.6328513625
95,-20.0688696449
84,-18.744646915
104,60.6308953443
75,-23.0008655422
92,-20.6584104088
143,367.429057808
58,-22.4508189829
139,412.308835816
136,-27.1539504395
107,-21.7683770785
81,-22.3704841803
137,-27.2885897735
69,-22.57675164
54,-20.6884798601
21,-21.9576799822
117,-27.2437099955
149,-25.8075570993
45,-20.489572684
46,-21.1462535958
15,-22.4499213874
26,-10.5080407763
48,-22.3056777809
36,-20.3920040466
13,-22.3661757216
109,-22.3966939707
23,-22.5850992787
140,-16.6520823856
62,-22.8640719788
44,-22.3305411779
90,-22.9716936865
67,-20.0673437325
91,-22.3897824848
98,12.4300137636
29,-15.6862695629
42,-21.3352872208
141,129.566234365
7,-20.8022052176
64,-14.1316340527
94,-22.7508851787
82,-22.8559038592
101,352.169933285
5,-22.2532582001
79,-18.2910918785
16,-22.6844631072
